id,mes,data_registro,placa,item,fonte,tipo_manutencao,status,ordem_servico,conclusao,data_servico
25,2025-07,2025-07-03,QGV3D12,mangote,Checklist,Corretiva,CONCLUÍDO,00026548,realizado,2025-07-09
26,2025-07,2025-07-16,QGV3D32,lampada,Checklist,Corretiva,CONCLUÍDO,6625487,realizado,2025-07-15
27,JULHO,2025-07-24,GAT5874,roda,Checklist,Preventiva,PENDENTE,00215474,realizado,2025-07-30
28,JULHO,2025-07-07,GAT2I32,LANTERNA ESQUERDA,CHECKLIST,CORRETIVA,PENDENTE,,,
29,JULHO,2025-07-23,GAT4I12,LUZ,CHECKLIST,CORRETIVA,PENDENTE,,,
30,JULHO,2025-07-15,GAP2B81,PLACA SUPORTE,CHECKLIST,PREVENTIVA,EM ANDAMENTO,,,
31,JULHO,2025-07-03,GAP2B64,ABS COM FALHA,CHECKLIST,CORRETIVA,PENDENTE,,,
32,JULHO,2025-07-03,GAP2B64,CABINE ACUMLANDO AGUA EMBAIXO DO ASSOALHO,CHECKLIST,CORRETIVA,PENDENTE,,,
33,JULHO,2025-07-05,QGQ9F26,VERIFICAR PNE LD 3E ,CHECKLIST,CORRETIVA,PENDENTE,,,
34,JULHO,2025-07-05,QGQ9F26,LANTERNA CAVALO COM LUZ QUEIMADA,CHECKLIST,CORRETIVA,PENDENTE,,,
35,JULHO,2025-07-05,QGQ9F26,CAVALO COM AMASSAO NA FRENTE,CHECKLIST,CORRETIVA,PENDENTE,,NAO INTERFERE NA OPERACAO,
36,JULHO,2025-07-05,QGQ9F26,TRAVAD A BOCA DA BOMBA QUEBRADA,CHECKLIST,CORRETIVA,PENDENTE,,,
37,JULHO,2025-07-05,QGQ9F26,ABRACADEIRA DO CANO DE DESCARGA,CHECKLIST,CORRETIVA,PENDENTE,,,
38,JULHO,2025-07-05,GAT5H91,PLACA DE DIMESSAO COM MUITO FERRUGEM,CHECKLIST,CORRETIVA,PENDENTE,,,
39,JULHO,2025-07-29,GAT5D72,PNEUS CAVALO /CARRETA ATUALIZADOS,OUTRO,,CONCLUÍDO,,CONJUNTO,2025-08-14
40,JULHO,2025-07-07,GAT5D72,VERIFICAR PNEUS,CHECKLIST,CORRETIVA,CONCLUÍDO,0020000596,RODIZIO DE PNEUS,2025-07-29
41,JULHO,2025-07-07,GAT5D82,ABS COM FALHA,CHECKLIST,CORRETIVA,PENDENTE,,,
42,JULHO,2025-07-07,GAT5D82,VISOR TRINCADO,CHECKLIST,CORRETIVA,PENDENTE,,,
43,JULHO,2025-07-07,GAT5D82,AVARIA NA CABINE LD,CHECKLIST,CORRETIVA,PENDENTE,,NAO INTERFERE NA OPERACAO,
44,JULHO,2025-07-07,GAT5D82,VERIFICAR PE DA CARRETA GAT5C65,CHECKLIST,CORRETIVA,PENDENTE,,,
45,JULHO,2025-07-07,GAT5D82,LAVAR E LUBRIFICAR,CHECKLIST,CORRETIVA,PENDENTE,,,
46,JULHO,2025-07-07,GAT9I43,COLOCAR TRAVA DA TELA DIANTEIRA,CHECKLIST,CORRETIVA,PENDENTE,,,
47,JULHO,2025-07-07,GAT9I43,TROCAR MANGOTE ,CHECKLIST,CORRETIVA,PENDENTE,,,
48,JULHO,2025-07-07,GAT9I43,LUBRIFICAR E CALIBRAR PNEUS,CHECKLIST,CORRETIVA,PENDENTE,,,
49,JULHO,2025-07-07,GAT2H94,PARACHOQUE DIANTEIRO AMASSADO,CHECKLIST,CORRETIVA,PENDENTE,,,
50,JULHO,2025-07-07,GAT2H94,VERIFICAR PNEUS,CHECKLIST,CORRETIVA,PENDENTE,,,
51,JULHO,2025-07-07,GAT9I62,VAZAMENTO DE AR DA CAIXA DE COMANDO,CHECKLIST,CORRETIVA,PENDENTE,,,
52,JULHO,2025-07-07,GAT7G11,VIRAR PNEU NA RODA,CHECKLIST,CORRETIVA,PENDENTE,,,
53,JULHO,2025-07-07,GAT7G11,REGULAR FREIOS,VISUAL,CORRETIVA,PENDENTE,,,
54,JULHO,2025-07-07,GAT7G11,LONA ABAFADORA,CHECKLIST,CORRETIVA,PENDENTE,,,
55,JULHO,2025-07-07,GAT7G11,LUBRIFICAÇÃO GERAL,CHECKLIST,CORRETIVA,PENDENTE,,,
56,JULHO,2025-07-07,GAT5D14,CRLVS,CHECKLIST,CORRETIVA,PENDENTE,,,
57,JULHO,2025-07-07,GAT5D14,PARABRISA TRINCA,CHECKLIST,CORRETIVA,PENDENTE,,,
58,JULHO,2025-07-07,GAT5D14,CARRETA SEM ABS,CHECKLIST,CORRETIVA,PENDENTE,,,
59,JULHO,2025-07-07,GAT5D14,ROTOGRAMA FALADO NÃO FUNCIONA,CHECKLIST,CORRETIVA,PENDENTE,,,
60,JULHO,2025-07-07,GAT4H53,VERIFICAR PNEUS,CHECKLIST,CORRETIVA,CONCLUÍDO,0040005784,TROCA DE PNEUS,2025-09-15
61,JULHO,2025-07-07,GAT4H53,TROCAR ADESIVO DA PLACA DIRECIONAMENTO,CHECKLIST,CORRETIVA,PENDENTE,,,
62,JULHO,2025-07-07,GAT4H53,TROCAR FILTORS DE ÓLEO ,CHECKLIST,CORRETIVA,CONCLUÍDO,,,2025-08-29
63,JULHO,2025-07-07,GAT6I73,CÂMERAS DE MONITORAMENTO SEM FUNCIONAR,CHECKLIST,CORRETIVA,PENDENTE,,,
64,JULHO,2025-07-07,GAT6I73,LAVAR E LUBRIFICAR,CHECKLIST,CORRETIVA,PENDENTE,,,
65,JULHO,2025-07-07,GAT6I73,FALHAS NO MOTOR,CHECKLIST,CORRETIVA,PENDENTE,,,
66,JULHO,2025-07-07,GAT5C86,PARABRISA COM TRINCA ,CHECKLIST,CORRETIVA,CONCLUÍDO,,PRESTADOR DE SERVIO QUEBROU E REALIZOU A TROCA,2025-07-08
67,JULHO,2025-07-07,GAT5C86,AR CONDICIONADO COM DEFEITO,CHECKLIST,CORRETIVA,CONCLUÍDO,40005509,FINALIZADO,2025-07-08
68,JULHO,2025-07-07,GAT5C86,CONJUNTO PRECISANDO SER LAVADO,CHECKLIST,CORRETIVA,PENDENTE,,,
69,JULHO,2025-07-08,GAP1D62,LAVAR CT,CHECKLIST,CORRETIVA,PENDENTE,,,
70,JULHO,2025-07-08,QGW7E94,PARABRISAS TRINCADO,CHECKLIST,CORRETIVA,PENDENTE,,,
71,JULHO,2025-07-08,QGW7E94,REGULAR FREIO,CHECKLIST,CORRETIVA,PENDENTE,,,
72,JULHO,2025-07-08,QGW7E94,LUBRIFICAÇÃO GERAL,CHECKLIST,CORRETIVA,PENDENTE,,,
73,JULHO,2025-07-08,QGW7E94,LAVAGEM EXTERNA,CHECKLIST,CORRETIVA,PENDENTE,,,
74,JULHO,2025-07-08,QGQ9F36,PLACA DETRAN COM TRINCO E POUCA VISIBILIDADE,CHECKLIST,CORRETIVA,CONCLUÍDO,0040005809,TROCA,
75,JULHO,2025-07-08,GAT3J67,AMORTECEDOR DANIFICADO LADO ESQUERDO,CHECKLIST,CORRETIVA,PENDENTE,,,
76,JULHO,2025-07-16,QGV7B82,MAPEAMENTO ATUALIZADO QGV7B82/OJZ2C85,OUTRO,CORRETIVA,CONCLUÍDO,,,2025-07-16
77,JULHO,2025-07-08,QGV7B82,TANQUE 6 DANDO PASSAGEM PRO 7,CHECKLIST,CORRETIVA,CONCLUÍDO,0040005526,,
